,Question,Answer
1566,What are some of the terms that are used for this product?,"Head office store: This is the number used by a business owner to operate multiple stores under one organization.
Store number: The number used by the business owner to operate the till.
Till number: The number displayed for customers to make payments to your business.
Nominated number: M-PESA registered number that is authorized to withdraw funds from the store. This is usually the business owner’s M-PESA number or another as may be proposed. The till notification SIM card cannot be a nominated number
"
1567,Which channels can the business owner use to access the Business Till services?,"There are two channels:
You may also request for access to web based M-PESA portal to view statements and withdraw funds to banks only.

"
1568,Will I be required to activate the Business Till once the application is completed?,"You will be required to first activate /opt into your till to perform transactions. There are two options to do this.
1. Via your nominated number
2. Via M-PESA Business APP
Once successful, you will receive an SMS from M-PESA that your Operator ID is successfully activated.
Step 1
"
1569,Will I be issued with a till SIM card for receiving notifications?,"Your till will have a mobile number attached to it for purposes of receiving notifications each time a transaction is made to the till.
To get the physical SIM card, you will be required to perform a SIM replacement. There are 3 ways of getting the till SIM card:
Once successful, you will receive a message confirming that the SIM replacement/activation was completed successfully. Kindly insert your new SIM into a handset to receive payment notifications.
You cannot use the till SIM card to perform transactions

"
1570,Downloading the Buy Goods Till sticker,"To download a sticker with your till number already embedded on the sticker.

Access the M-PESA self-onboarding portal.
Select MY APPLICATIONS
Download the sticker under your completed applications.
"
1571,"As a business owner, which tasks can I perform on the Business Till service?","As the business owner, you can perform the following transactions:
Please refer to attached user guide on how to perform this task.

Pay to a mobile number.
Pay to another Buy Goods Till
Pay to a utility (Paybill) till
Withdraw funds:
To owners nominated number
At M-PESA agent
To bank
Sell Airtime and earn commission.
Check statements.
Create and Manage Assistants
Change PIN
"
1572,How do I perform transactions on the business till?,"There are two channels in which you can perform transactions:
You can click this link to view details on M-PESA Business App: https://www.safaricom.co.ke/media-center-landing/frequently-asked-questions/m-pesa-business-app

Dial *234# from the Nominated Number
Then select M-PESA Business Till
Then enter your Head Office / Store Number
Select the transaction you wish to perform.
"
1573,What transactions can I perform on the business till?,"Withdraw Funds: From Agent

You will receive a pop-up on your phone screen that the requested withdrawal has been successfully initiated. You will then receive an SMS from M-PESA confirmation with the amount withdrawn to your mobile number.
Withdraw Funds to Bank:
There are two options under withdraw to bank i.e.,
Withdraw all funds to the bank.
You will receive a pop-up on your phone screen with a confirmation that your withdrawal request has been successfully initiated. You will then receive an M-PESA notification SMS that the withdrawal request of all funds to your bank account has been successfully initiated and your funds will be credited to your bank account. The M-PESA Business Till balance will also be displayed.
Withdrawing specific amount to the bank
You will receive a pop-up on your phone screen with a confirmation that your withdrawal request has been successfully initiated. You will then receive an M-PESA notification SMS that the withdrawal request of all funds to your bank account has been successfully initiated and your funds will be credited to your bank account. The M-PESA Business Till balance will also be displayed.
Make Payment To Business Till (Buy Goods Till)
You will receive a pop-up on your phone screen with a confirmation that the Paybill payment request has been successfully initiated. You will then receive an M-PESA confirmation that the payment you initiated to another Paybill number has been successfully completed. The M-PESA Business Till balance will also be displayed.
Make Payment To Paybill Number
You will receive a pop-up on your phone screen with a confirmation that the paybill payment request has been successfully initiated.  You will then receive an M-PESA confirmation that the payment you initiated to another Paybill number has been successfully completed. The M-PESA Business Till balance will also be displayed.
Pay to Mobile Number
You will then receive an M-PESA confirmation that the payment you initiated has been successfully completed. The amount transferred and the recipient’s name and phone number and your Business Till balance will also be displayed.
You will receive a pop up on your phone screen with a confirmation that the airtime purchase has been successfully initiated.  You will then receive an M-PESA confirmation that the airtime sale was successfully completed.  The amount transferred and the recipient’s name and phone number and your Business Till balance will also be displayed.
You will receive an SMS with your Business Till balance.
Visit an M-PESA Agent to withdraw.
"
1574,What are the transaction limits for the new M-PESA Business till?,"You will be able to transact up to KSh. 150,000 per transaction.
The maximum you can transact (Money sent from the till) in a day is KSh. 300,000
"
1575,What are the charges for the new M-PESA Business till transactions?,"Transaction
Tariff
Pay to another Business Till (Buy Goods till)
0.25% capped at KSh 200
Pay to a mobile Number (B2C)
Existing M-PESA send money charges to apply.
M-PESA Charges (safaricom.co.ke)
Pay to a utility till (Paybill C2B)
Standard Paybill charges apply.
New M-PESA Paybill (C2B) Tariffs (safaricom.co.ke)
Merchant Withdraw at agent
Standard agent withdrawal charges apply.
M-PESA Charges (safaricom.co.ke)
Merchant Sell Airtime
5% Commission earned by the merchant.
Note:
The business owner will be charged a maximum of 0.5% and not more than KShs.200 per transaction for money collected on the till.
Collections of KSh 200 and below are FREE.
There are no customer charges for payments made to the M-PESA Business Till except for payments made at fuel stations
"
